State,fossil_share_2000,fossil_share_2019,delta_fossil_share,Y_OUTCOME
AK,0.9968955872929727,0.9904568775213515,0.006438709771621198,0
AL,0.9405221392456773,0.9388430309927233,0.0016791082529540313,0
AR,0.9515624821436618,0.953777350146214,-0.002214868002552217,0
AZ,0.98045418962679,0.9750133566721176,0.005440832954672348,0
CA,0.9731891283625349,0.9582518545028605,0.01493727385967436,1
CO,0.9927378692684138,0.975435122911344,0.017302746357069743,1
CT,0.9677484226430515,0.9778120608107809,-0.010063638167729372,0
DC,0.9911354398043313,0.9849934215833261,0.00614201822100513,0
DE,0.9952188438198528,0.9936077455271765,0.0016110982926763606,0
FL,0.96874505267508,0.970516111232323,-0.0017710585572429105,0
GA,0.9573722315401809,0.950246488808441,0.007125742731739937,0
HI,0.9691133895069202,0.9766864005136605,-0.007573011006740349,0
IA,0.9832328926905132,0.953662586817963,0.029570305872550162,1
ID,0.9001568584338278,0.897639019938628,0.002517838495199709,0
IL,0.993333500515119,0.988343980444896,0.004989520070223019,0
IN,0.9948651213540844,0.9866361332213289,0.008228988132755521,1
KS,0.9961626076663849,0.9567430198273225,0.03941958783906241,1
KY,0.9942782987269054,0.982617623396292,0.011660675330613435,1
LA,0.9840828666783455,0.9850513320009544,-0.000968465322608858,0
MA,0.9771519585570981,0.9776028839364427,-0.0004509253793445467,0
MD,0.9814816655324858,0.9820890760009775,-0.0006074104684916648,0
ME,0.8423892719344019,0.8255218389793596,0.01686743295504234,1
MI,0.9819871074012979,0.970812221258119,0.011174886143178964,1
MN,0.980127897612092,0.9637961448755231,0.01633175273656884,1
MO,0.9950557960571672,0.9850509172591508,0.01000487879801637,1
MS,0.9622284971622986,0.9758667885178729,-0.013638291355574261,0
MT,0.9453456044866144,0.9357775339282814,0.009568070558332975,1
NC,0.9709262250188466,0.960120498653183,0.01080572636566357,1
ND,0.991360178302721,0.9654192613395662,0.025940916963154814,1
NE,0.9903556205713254,0.9748358852311836,0.015519735340141838,1
NH,0.948974663100601,0.9169713539397927,0.03200330916080829,1
NJ,0.9908991969345345,0.9902201853902491,0.0006790115442854017,0
NM,0.9956090126918477,0.969452335071872,0.026156677619975643,1
NV,0.9846258040900092,0.9659888266038558,0.01863697748615345,1
NY,0.9634046443348736,0.9648411500548669,-0.0014365057199933196,0
OH,0.9896715870125844,0.9889364605653693,0.0007351264472150731,0
OK,0.9892220769414829,0.9542805122413205,0.03494156470016241,1
OR,0.8917510316873076,0.8723812363932198,0.019369795294087777,1
PA,0.9871971749823483,0.9800280131050411,0.007169161877307206,0
RI,0.9891714051535169,0.9833447969217342,0.005826608231782715,0
SC,0.9634452826651567,0.9478164587960926,0.015628823869064168,1
SD,0.9543507888639157,0.9279778186329463,0.026372970230969406,1
TN,0.9786650826079408,0.9702275413098452,0.008437541298095597,1
TX,0.9964106262270536,0.9847972323388844,0.011613393888169177,1
US,0.9782539897346452,0.9695898501116814,0.008664139622963751,1
UT,0.9943918801879635,0.9863116435154244,0.008080236672539098,0
VA,0.970146309068093,0.9689455100816554,0.0012007989864375457,0
VT,0.9490115463005129,0.8835482191763033,0.06546332712420955,1
WA,0.8893954583984156,0.8870666838670527,0.0023287745313629316,0
WI,0.9684957110814978,0.9613790739091618,0.0071166371723360156,0
WV,0.9957063498883085,0.987767062228985,0.007939287659323502,0
WY,0.9953396451344977,0.983123629707808,0.012216015426689708,1
